textDisplay,translate,cleanText
Tdk realistis ya tdk usah dipilih.,"Unrealistic, no need to choose.",unrealistic need choose
"Yg paling tepat kalau 2024 ada presiden yg berani memiskinkan koruptor, itu janji anies, apa sdm kita mampu kelola hasil alam seperti janji prabowo.","The most appropriate if 2024 there is a president who dares to impoverish corruptors, that is Anies's promise, what our human resources are able to manage natural products such as Prabowo's promise.",appropriate president dares impoverish corruptors aniess promise human resources able manage natural products prabowos promise
Tdak ada salahnya kalau di coba,There's no harm if you try it,theres harm try
Bagi saya yg masuk akal cuma pak prabowi beliau tulus dan jujur terhadap rakyatnya.,For me who makes sense only Mr. Prabowi he is sincere and honest with his people.,makes sense mr prabowi sincere honest people
"Apa kamu yakin politik itu jujur dan tulus, blajar lagilah dari pengalaman yg sudah2. Sekian terima kasih","Are you sure that politics is honest and sincere, but it is awarded from the experience that has been. That is all and thank you",sure politics honest sincere awarded experience thank
@@ryankurnia5537 dengan capres yg satu ini (prabowo)saya sangat yakin beliau tulus dan jujur pada kita (rakyat jelata).,@@ Ryankurnia5537 with this one presidential candidate (Prabowo) I am very sure he is sincere and honest with us (ordinary people).,ryankurnia one presidential candidate prabowo sure sincere honest us ordinary people
Yg paling gak mendidik janjinya adalah BBM gratis 🤣🤣✌️,The one who educates the promise is the free BBM 🤣🤣✌️,one educates promise free bbm
Yang paling masuk akal cuma prabowo. Aneh.,The most reasonable only Prabowo. Strange.,reasonable prabowo strange
gw kok belum pernah dengar janji dari Anies perihal menggratiskan BBM dan listrik.<br>janji tsb ada jejak digital nggak min ?,I have never heard of the promise of Anies about freeing fuel and electricity. <br>,never heard promise anies freeing fuel electricity
"Yang masyarakat butuhkan bukan janji, tapi tindakan.","What people need is not a promise, but action.",people need promise action
"Janji dan visi misi gak laku di pasar boss, coba aja beli beras pake janji, paling cuma diketawain...","Promises and vision and mission not sold in the boss market, just try buying rice using promises, at most just laugh ...",promises vision mission sold boss market try buying rice using promises laugh
Mending jangan janji deh😂 muak gw dengar janji politikus😅,It's better not to promise I will hear the promise of politicians,better promise hear promise politicians
Makanya jangan percaya janji janji<br>Apalagi jelang pilpres<br>Pasti banyak bohongnya,So don't believe the promise of the promise <br> especially ahead of the presidential election <br> there must be a lot of lies,dont believe promise promise especially ahead presidential election must lot lies
Kalo gw sih pro anies ya walaupun wapresnya agak lawak😂tapi disetiap kesempatan coba simak penjelasan program&quot;nya pak anies langsung pasti realistis sama keadaan sekarang. Yg dibahas diatas dari bbm gratis sampai dana desa naik 2x lipat lebih keluar dari mulut wapresnya bukan pak anies,"If I am pro Anies, even though the vice president is a bit comedy, but at every opportunity, try to see the explanation of the program & quot; Mr. Anies immediately must be realistic with the current situation. Discussed above from free fuel to village funds rose 2x more out of the mouth of the vice president not Mr. Anies",pro anies even though vice president bit comedy every opportunity try see explanation program quot mr anies immediately must realistic current situation discussed free fuel village funds rose x mouth vice president mr anies
"Ngipi dah kalo gaji guru 10 juta , di sekitar gua gaji 600 700 buanyak guru cuy","Ngipi already if the teacher's salary is 10 million, around the cave salary 600 700 there are many teachers cuy",ngipi already teachers salary million around cave salary many teachers cuy
Cukup hukum ditegak kan seadil adil nya dan hukum mati para koruptor udah bers semua permasalahan.,Enough of the law is stressed as fairly as fair and the death law of the corruptors has all problems.,enough law stressed fairly fair death law corruptors problems
"Setiap paslon punyanya tim pemenangan, tapi gak punya tim perumus program untuk dipublish ke masyarakat dengan alasan takut dicontek paslon lain. Alhasil, paslon ngomong gagasan seluas wawasan dia aja, dengan bekal bisikan gaib yang gak bisa ditelaah faktanya macem 11000T di kantong yang disebut jokowi dulu, dan ini masih lebih baik dibanding kondisi 3 paslon sekarang yang seakan terkurung dalam circlenya.<br><br>Seperti konten video ini, mestinya lebih banyak bahasan dari berbagai bidang permasalahan yang dilempar ke masyarakat untuk diuji, toh kalau memang niatnya mau membangun indonesia, gak perlu egois ingin membangun sendiri sampe takut programnya dicontek paslon lain, malah masyarakatpun bisa ikut serta dengan mengkaji program2nya, atau malah ikut menyumbangkan ide dan gagasan sehingga nantinya hasil kajiannya bisa diupayakan oleh siapapun yang terpilih.<br><br>Biarkan saja ada kepentingan paslon atau partai, tapi mereka harus sadar bahwa ada kepentingan bersama yang bisa diselesaikan bersama rakyatnya.","Every candidate pair is a winning team, but does not have a program formulating team to be published to the community with the reason that he is afraid of being cheated on another candidate pair. As a result, the candidate pair says the idea of ​​his broad insight, with a supernatural whisper that cannot be examined in the fact that it is 11000T in a pocket called Jokowi, and this is still better than the condition of the 3 Paslon now that seemed to be locked up in his circle. <br> <br> Like this video content, there should be more discussions from various fields of problems that are thrown to the community to be tested, anyway if the intention is to build Indonesia, there is no need to be selfish to build themselves until the program is fearing that the program is cheated in other paslon, even the community can participate by reviewing the programs, Or even contribute ideas and ideas so that later the results of the study can be pursued by anyone who is elected.",every candidate pair winning team program formulating team published community reason afraid cheated another candidate pair result candidate pair says idea broad insight supernatural whisper examined fact pocket called jokowi still better condition paslon seemed locked circle like video content discussions various fields problems thrown community tested anyway intention build indonesia need selfish build program fearing program cheated paslon even community participate reviewing programs even contribute ideas ideas later results study pursued anyone elected
Saya pilih janji&quot; pak inis janjinya kayak tutorial cara negara bangkrut dengan cepat 😂😂,"I select promise & quot; Sir, this promise like a tutorial on how the state goes bankrupt quickly 😂😂",select promise quot sir promise like tutorial state goes bankrupt quickly
Kalo gak ada janji gimana dipilih rakyat😅,"If there is no promise, how do the people chose",promise people chose
"Setidaknya, mendidik rakyat dengan janji yang realistis, supaya masyarakat pun lebih tercerdaskan","At least, educate the people with realistic promises, so that people are even more checked",least educate people realistic promises people even checked
Janji prabowo gak beda sama janji Jokowi 😢😢semua omong kosong Indonesia kaya sumber alam tapi air saja beli🤭🤭🤭,Prabowo's promise is not different from Jokowi's promise 😢😢 All Indonesian nonsense is rich in natural resources but just water buying,prabowos promise different jokowis promise indonesian nonsense rich natural resources water buying
Kalau ada capres janji akan menghapuskan aosorcing dan diangkat jadi karyawan tetap...saya 1 provinsi akan memilih capres tsb....uraaaaaaaa,"If there is a presidential candidate, the promise will eliminate Aosorcing and be appointed as a permanent employee ... I 1 province will choose the presidential candidate .... uraaaaaaaa",presidential candidate promise eliminate aosorcing appointed permanent employee province choose presidential candidate uraaaaaaaa
🤔 Mengubah UU TK berarti..,🤔 Changing the TK Law means ..,changing tk law means
Pak Prabowo menjabat menjadi menteri pun semua pendukung nya mikir gak masuk akal dan jadi menteri hukum Indonesia gak bisa tajam ke atas 😢😢😢,"Pak Prabowo served as a minister, all his supporters thought that it didn't make sense and became the Minister of Law Indonesia could not be sharp upward 😢😢😢",pak prabowo served minister supporters thought didnt make sense became minister law indonesia could sharp upward
Setelah saya perhatikan analisis dari video ini saya mendapatkan kesimpulan bahwa semua janji itu hanya sebuah harapan palsu apalagi Anies parah bet janji nya,After I noticed the analysis of this video I got the conclusion that all the promises were just a false hope especially the severe Anies Bet promise,noticed analysis video got conclusion promises false hope especially severe anies bet promise
"Wkwkwk, saya kuliah ekonomi S2, capek capek belajar cara meningkatkan ekonomi negara, malah liat janji pak Anies cuman bisa geleng geleng wkwk","Wkwkwk, I am studying for S2 economics, tired of learning how to improve the country's economy, instead see the promise of Mr. Anies can only be shaken",wkwkwk studying economics tired learning improve countrys economy instead see promise mr anies shaken
"Setuju banget Anis trus Ganjar janjinya paling susah buat di tepatin. Janji Prabowo masih masuk akal dua dua nya, menyediakan gizi dan makan siang untuk pelajar dan balita itu sudah dilakukan presiden sebelum sebelumnya dalam bentuk lain,","Really agree Anis then Ganjar the promise is the most difficult to make it right. Prabowo's promise still makes sense two of her two, providing nutrition and lunch for students and toddlers have been carried out by the president before previously in another form,",really agree anis ganjar promise difficult make right prabowos promise still makes sense two two providing nutrition lunch students toddlers carried president previously another form
Saya pilih anis karna biar bisa BBM gratis,I chose Anis because I can bbm free,chose anis bbm free
"​@@baralaxyt7811bused udh ada contoh kasusnya ,masih yakin¿","@@ Baralaxyt7811buced There is a case example, still sure",baralaxytbuced case example still sure
@@baralaxyt7811 Yg bayar siapa bg 😂,@@ Baralaxyt7811 Who Pay Who BG 😂,baralaxyt pay bg
Kita ini sedang rusak. Janji yang harus terucap ya memperbaiki yang rusak,We are damaged. The promise that must be spoken yes fixed the damaged one,damaged promise must spoken yes fixed damaged one
"Misalnya, apa kerusakan yang harus diperbaiki? 🤔","For example, what damage must be repaired? 🤔",example damage must repaired
@@NgomonginUang cukup perbaiki hukum yang rusak parah di negara ini saja. Supaya terlahir para pemimpin yang jujur dan semua aspek perkembangan negara ini akan membaik dengan sendirinya.,@@ Talking about it is enough to improve the law that is badly damaged in this country. To be born honest leaders and all aspects of the development of this country will improve by itself.,talking enough improve law badly damaged country born honest leaders aspects development country improve
@@NgomonginUang se cemerlang apapun rencananya kalo yang jalanin para binatang serakah hasilnya gak akan sesuai harapan,@@ Talking about the brilliant section of whatever the plans are if they run the greedy animals the results will not be as expected,talking brilliant section whatever plans run greedy animals results expected
Mending yg pertama bisa berhenti in korupsi di hukum mati aj biar duit nya gak di tilep😂,The first one can stop in corruption in the law of death so that the money is not in tilep😂,first one stop corruption law death money tilep
"Yang harus diperjuangkan adalah, perampasan aset bagi pelaku korupsi","What must be fought for is, the deprivation of assets for the perpetrators of corruption",must fought deprivation assets perpetrators corruption
Janji janji bodoh hanya membuktikan dirinya bodoh,The promise of a stupid promise only proves himself stupid,promise stupid promise proves stupid
Chanel yg membuat kita berpikir kritis dan realistis salam waras,Chanel who makes us think critically and realistically,chanel makes us think critically realistically
Terima kasih untuk support dan apresiasinya 👍,Thank you for the support and appreciation 👍,thank support appreciation
dlu saya pendukung jokowi...<br>tp ms jabatan udah hbs....<br>skng pilihan jatuh k prabowo...<br>ganjar...anis...kyk ny blm bisa jd pilihan ku,I support Jokowi ... <br> but the position is already HBs .... <br> Skng the choice of falling K Prabowo ... <br> Ganjar ... anis ... kyk ny can't be my choice,support jokowi position already hbs skng choice falling k prabowo ganjar anis kyk ny cant choice
"Gaji pns naik gak masuk akal,,, diikuti harga bahan pokok melambung naik,,, rakyat kecil, orang miskin tambah susah cari uang.... Yang masuk akal kok malah pak prabowo, aku milih yg masuk akal aja deh,,,","The salary of civil servants rises does not make sense ... followed by the price of staples soaring up ... small people, poor people even more difficult to make money ... what makes sense, but Prabowo, I just choose what makes sense ...",salary civil servants rises make sense followed price staples soaring small people poor people even difficult make money makes sense prabowo choose makes sense
30 juta perbulan?! ngga masuk akal. ngebet banget pengen jadi presiden,30 million per month?! It doesn't make sense. I really want to be president,million per month doesnt make sense really want president
"Menurut saya pembangunan sekolah itu bukan tanggung APBN karna siswa di wajibkan bayar uang gedung yang ga murah berkisar 2-5jt per siswa, harusnya dana trsbt cukup buat merenovasi bangunan 😅, <br>Koreksi bila salah","In my opinion the construction of the school is not the responsibility of the state budget because students are required to pay building money that is not cheap ranges from 2-5 million per student, the funds should be enough to renovate the building 😅, <br> correction if wrong",opinion construction school responsibility state budget students required pay building money cheap ranges million per student funds enough renovate building correction wrong
"Nah, iuran uang gedung ini lah (yang di sekolah negeri) yang harusnya udah ga ada lagi, karena itu mestinya dicover pemerintah","Well, the contribution of this building money is (in public schools) that should no longer exist, because it should be covered by the government",well contribution building money public schools longer exist covered government
Semua janji politik itu gk realistis😅,All political promises are not realistic,political promises realistic
"Maka, kami buat video ini untuk mengajak masyarakat berpikir lebih kritis","So, we made this video to invite people to think more critically",made video invite people think critically
"Dari dulu guru selalu dijadiin kereta politik dengan di janjiin gaji besar dll tapi teryata guru honorer gajinya tetap memprihatinkan,apa memang seperni skenarionya","The teacher has always been a political train with a large salary, but it turns out that the honorary teacher's salary remains alarming, is it like a scenario",teacher always political train large salary turns honorary teachers salary remains alarming like scenario
Gak usah janji muluk&quot; berani hukum koruptor hukum mati udah jadi janji yg paling top janji yg ngak butuh biaya besar tapi efek nya luar biasa buat bangsa ini,No need to promise grandiose & quot; Dare to Death's Corruptor Law has become the most top promise that does not require great costs but the effect is extraordinary for this nation,need promise grandiose quot dare deaths corruptor law become top promise require great costs effect extraordinary nation
Atau.. UU perampasan aset koruptor? Worth it gak tuh kira kira?,Or .. Law to grab corrupt assets? Worth it doesn't matter?,law grab corrupt assets worth doesnt matter
ANIS SUBSIDI BBM UNTUK LAHAN KORUPSI LIHAT AJA NANTI SUDAH BIASA KORUP DARI DULU,"Anis fuel subsidies for corruption land, just see that it is used to corrupt",anis fuel subsidies corruption land see used corrupt
"min bahas dong, kualifikasi menjadi negara maju dan apakah indonesia dapat menjadi negara maju, serta apa saja yang harus dilakukan indonesia apabila ingin menjadi negara maju, Versi Ngomongin Uang, terimakasih mimin🙏🙏🙏","Min, discuss, the qualifications to become a developed country and whether Indonesia can become a developed country, as well as what Indonesia must do if you want to become a developed country, the version of talking about money, thank you mimin 🙏🙏🙏",min discuss qualifications become developed country whether indonesia become developed country well indonesia must want become developed country version talking money thank mimin
"Oke, Ngomu catet dulu ya 😁 Thanks for input","Okay, ngom you catet first 😁 Thanks for input",okay ngom catet first thanks input
Sama2 min🙏,Together min🙏,together min
"Terimakasih ngomongin uang, sekarang jadi lebih melek sama janji-janji kampanye para capres","Thank you for talking about money, now it is more literate with the promises of the presidential campaigns",thank talking money literate promises presidential campaigns
"Sama sama, share lebih luas ya video ini agar lebih menjernihkan masyarakat","The same, share more broadly this video to make the community more clear",share broadly video make community clear
"BBM gratis, mana ada,<br>Jangan asal janji, entar di tanya mana janjinya, eh jawabnya, emangnya saya perna janji.<br>Hahahaha","BBM is free, where is there, don't just promise, then ask where the promise is, eh the answer, I have the promise. <br> hahahaha",bbm free dont promise ask promise eh answer promise hahahaha
"Halalaaah,, pake naikin gaji guru jadi 10 jt. Duit darimana.. anak pejabat yang mampu saja sekolahnya pengen gratis kinerja guru dulu di evaluasi masih banyak guru yang bolos mengajar di jam kerja.. mentang mentang pegawai negeri absensi seenak jidat","Halalaaah ,, use the teacher's salary to 10 million. Where is the money from ... the child who can be able to school wants to be free of the teacher's free performance in the evaluation that there are still many teachers who skipped teaching during working hours.",halalaaah use teachers salary million money child able school wants free teachers free performance evaluation still many teachers skipped teaching working hours
Makanya itu gw mau golput karena gw rasa ada yang tidak beres tapi yah orang tua marah dan paksa harus memilih akhirnya ikuti saja apa yang ortu pilih itu yg gw pilih,"That's why I want to abstentions because I think something is wrong but well, parents are angry and forced to choose finally just follow what my parents chose that I chose",thats want abstentions think something wrong well parents angry forced choose finally follow parents chose chose
JANGAN MUNCUL JANJI2 ESEMKA LAGI !!!,Don't appear Esemka's promises again !!!,dont appear esemkas promises
Dukung kenaikan gaji guru!!!,Support Teacher Salary Increase !!!,support teacher salary increase
2024 KITA GOLPUT LAGI YA GUYSSS,2024 we abstentions again guysss,abstentions guysss
BBM gratis😂😂,BBM FREE😂😂,bbm free
"Janjinya penuh omong kosong belaka. Dan dari ke3 paslon sama sekali ga ada yg pantas untuk jadi presiden.<br><br>Opsi terbaik itu cuma 1, Jadikan pak Ahok sebagai Presiden independen tanpa adanya partai politik. Dijamin 100% Indonesia bakal melesat maju..",His promise is full of nonsense. And from the 3rd candidate pair is completely appropriate to become president. Guaranteed 100% of Indonesia will be shot forward ..,promise full nonsense rd candidate pair completely appropriate become president guaranteed indonesia shot forward
yg paling ga masuk akal sih janji2 cak Imin,the most unreasonable one is the promise of Cak Imin,unreasonable one promise cak imin
kali ini sy pilih prabowo untuk setelah beberapa periode sy pilih jokowi,This time I chose Prabowo for after several periods I select Jokowi,time chose prabowo several periods select jokowi
"Prabowo mikirin masa depan, Ganjar juga okelah yang penting jangan Anies tolong banget ini mah","Prabowo thinks of the future, Ganjar is also okay, the important thing is that you don't really help this",prabowo thinks future ganjar also okay important thing dont really help
Janji tidak masuk akal b,Promise does not make sense b,promise make sense b
Mungkin capres yang tidak realistis perlu direhabilitasi terlebih dulu <br>Janji pemenuhan gizi nasional dan hilirsasi perusahaan oleh pak Prabowo adalah ide yang bagus dan sangat mendasar . Gizi nasional adalah modal dasar energi dan sdm bangsa Indonesia,Maybe an unrealistic presidential candidate needs to be rehabilitated first <br> Promise for the fulfillment of national nutrition and the company's downstream by Pak Prabowo is a good and very basic idea. National Nutrition is the basic capital of the energy and human resources of the Indonesian people,maybe unrealistic presidential candidate needs rehabilitated first promise fulfillment national nutrition companys downstream pak prabowo good basic idea national nutrition basic capital energy human resources indonesian people
Janji manis tai,Tai's sweet promise,tais sweet promise
"koreksi, ASN, TNI dan POLRI beda.<br>ASN menurut UU ASN ada dua jenis yaitu, PNS dan PPPK. sedangkan TNI dan POLRI itu ada UU nya sendiri.","Correction, ASN, TNI and Polri are different. ASN according to the ASN Law there are two types namely, civil servants and PPPK. While the TNI and Polri have its own law.",correction asn tni polri different asn according asn law two types namely civil servants pppk tni polri law
"Masyarakat indo kebanyakan menengah kebawah, suka diberikan hal-hal yang instan. Suka diberi bantuan (apalagi berupah uang). Ingin gaji naik, padahal gaji naik barang nasional juga naik, impor makin banyak, sda dan sdm Indonesia makin turun. Akibat terlalu dimanjakan oleh bantuan. <br><br>Mereka yang kerja di pemerintahan paham akan hal ini, tapi jika mereka terlalu realistis justru gak akan dipilih. Karena alasan tadi, rakyat kita suka yang instan","Indo people are mostly middle to lower, like to be given instant things. Like to be given assistance (let alone be money). Wanting salaries to rise, even though the salary to rise national goods also rises, more imports, SDA and HR Indonesia are increasingly down. As a result, it is too spoiled by assistance. <br> <br> Those who work in government understand this, but if they are too realistic it will not be chosen. For this reason, our people like the instant",indo people mostly middle lower like given instant things like given assistance let alone money wanting salaries rise even though salary rise national goods also rises imports sda hr indonesia increasingly result spoiled assistance work government understand realistic chosen reason people like instant
Semuanya itu adalah ladang bisnis korupsi😂,All of that is a corruption business field😂,corruption business field
"Ini hanya analisa, semua yang disampaikan capres untuk janjinya belum fix. Tunggu debat capres yang sudah di tentukan pihak KPU.","This is just an analysis, everything that is conveyed by the presidential candidate to promise is not fixed. Wait for the presidential debate that has been determined by the KPU.",analysis everything conveyed presidential candidate promise fixed wait presidential debate determined kpu
Terimakasih Min udah buat kita jadi lebih obyektif,"Thank you, Min, for us to be more objective",thank min us objective
Yang paling masuk akal cuma janji nomer 2 pak prabowo sih.<br>Lainya delusional,The most reasonable only promise number 2 Mr. Prabowo anyway.,reasonable promise number mr prabowo anyway
dana desa kaya tai .. yg kebagian cuman keluarga pak lurah dan pak rt rw aja 😂,Village Funds are rich tai .. who got the only family of the village head and the RT RW 😂,village funds rich tai got family village head rt rw
"(Kalau) semua janji ini benar2 ditepati dan berhasil, saya rasa janji soal ekspor adalah janji terbaik mengingat ini soal produktifitas","(If) All of these promises are truly kept and successful, I think the promise about exports is the best promise considering this is a matter of productivity",promises truly kept successful think promise exports best promise considering matter productivity
Percuma dana desa dinaikin enak kadesnya dpt cuan bnyk,"It's useless to be raised village funds, the village head can be a lot",useless raised village funds village head lot
"Harusnya ikuti cara korsel kasih bahan baku aja, jangan uang tunai langsung.","Should follow the way South Korea just give raw materials, not cash directly.",follow way south korea give raw materials cash directly
@@royaljelly0692 ya udh krja sma pusat susah cba km tnya dana desa buat apa aja pasti ada datanya klo ga dkasih psti dikorupsi,"@@ Royaljelly0692 Yes, it's already difficult for the central high school, cbba, the village fund for anything, for anything, there must be a data if you don't thank you for being corrupted",royaljelly yes already difficult central high school cbba village fund anything anything must data dont thank corrupted
mau gratisin bbm? lah progam oke oce aja banyak bermasalah,Want to free BBM? Lah progam okay Oce a lot of problems,want free bbm lah progam okay oce lot problems
Prabowo sih yg pling oke yg masuk akal yg lainnya ga masuk akal gaji guru 10jt mna mngkin bbm gratis lisrik grtis mna mngkin rakyat jg pasti mndiri lah yg pnting ekonominya merata speti prabowo tdk ekpor,"Prabowo, the pling is okay, the other reasonable does not make sense to the salary of teachers 10 million may be free of fuel, GRTIS, maybe the people will also be the one who is the one who has the economy even though the Prabowo is not exported",prabowo pling okay reasonable make sense salary teachers million may free fuel grtis maybe people also one one economy even though prabowo exported
"Dana desa taek, gak ada sama sekali kelihatan.","Taek Village Fund, there is no visible at all.",taek village fund visible
Bisa satu caranya bubarkan DPR dan sahkan UU perampasan aset koruptor siapapun yg tertangkap korupsi langsung dimiskinkan,It could be one way to disperse the DPR and endow the law of deprivation of corrupt assets anyone who is caught corruption is immediately impoverished,could one way disperse dpr endow law deprivation corrupt assets anyone caught corruption immediately impoverished
Hahhhhh dagelan tok,Hahhhhh Dalaplan Tok,hahhhhh dalaplan tok
"GA ADA CALON PRESIDEN JANJINYA ,,,HAPUS KORUPTOR!!! NGAK USAH MULUK2 INI ITU,, JUJUR DAN TEGAS!SEMATA MATA BUAT NEGERI DAN RAKYAT INDONESIA DAH LBH DR CUKUP!!!","There are no presidential candidates for the promise ... delete corruptors !!! No need to be grandiose, honest and firm!",presidential candidates promise delete corruptors need grandiose honest firm
Dari ke tiga Capres gak da yang berani janji<br>1- Menjarakan para koruptor seumur hidup dan menyita semua asetnya.<br>2- mengurangi dana anggaran DPR (gaji dan fasilitas mewah) <br>3- menyetop barang dari china<br>4- pinjam bunga 0% Bagi UMKM<br>5-melarang negara lain mengeruk sumber daya alam Indonesia<br>6- menjadikan Indonesia sebagai poros agraris dan poros maritim dunia demi ketahan pangan. <br><br>Kalau setuju like dan komen😊,From the three candidates for Gak Da who dare to promise <br> 1- to be a lifelong corruptor and confiscate all their assets. > 4- Borrowing 0% interest for MSMEs <br> 5-forbidden other countries to dredge Indonesia's natural resources <br> 6- Making Indonesia as the agrarian axis and the world's maritime axis for food resistance. <br> <br> If you agree like and comment 😊,three candidates gak da dare promise lifelong corruptor confiscate assets borrowing interest msmes forbidden countries dredge indonesias natural resources making indonesia agrarian axis worlds maritime axis food resistance agree like comment
"Korupsi Sudah jadi tradisi sejak dulu, jadi susah untuk di hilangkan walaupun dg di tingkatkan hukuman bagi tikus negara, banyak jalan menuju roma 😄😄😄","Corruption has become a tradition for a long time, so it's hard to be eliminated even though it is increased the punishment for state mice, many paths to Rome 😄😄😄",corruption become tradition long time hard eliminated even though increased punishment state mice many paths rome
"Ada 2 tipikal janji capres saat ini<br>1. Tipikal janji yang berbentuk pengeluaran<br>2. Tipikal janji yang berbentuk penghasilan.<br>Dari ketiga bacapres dari kedua contoh janji yang di jelaskan tadi pertama janji pak Ganjar kedua-keduanya berbentuk pengeluaran, kedua pak Prabowo berbentuk pengeluaran dan penghasilan yang dimana menurut saya, ada penghasilan yang besar tentu dana untuk pengeluaran tersedia, ketiga pak Anis kedua-duanya juga berbentuk pengeluaran, jadi kesimpulannya ada masalah ada solusi, ketika kita membutuhkan dana kita juga harus tahu dari mana penghasilannya bukan hanya berbicara tentang pengeluaran sementara penghasilan diabaikan.","There are 2 typical promises of the current presidential candidate <br> 1. Typical promises in the form of expenditure <br> 2. Typical promises in the form of income. From the three bacapres from the two examples of the described promises earlier, the first promise of Pak Ganjar is both in the form of expenses, the second Pak Prabowo is in the form of expenses and income which in my opinion, there is a large income of course the funds for expenditure Available, the three Pak Anis are also in the form of expenses, so in conclusion there is a problem there is a solution, when we need funds we also have to know where the income does not only talk about expenditure while income is ignored.",typical promises current presidential candidate typical promises form expenditure typical promises form income three bacapres two examples described promises earlier first promise pak ganjar form expenses second pak prabowo form expenses income opinion large income course funds expenditure available three pak anis also form expenses conclusion problem solution need funds also know income talk expenditure income ignored
"Kandidat capres 3 calon, yg 2 janji capres, nah yg 1 janji bacawapres(amin). <br><br>Shrus nya janji pak anies yg di kaji bkn jnji wakil nya.. Piye toh iki min🤦‍♂️<br><br>Abaikan janji2 yg konyol g msuk diakal dg kondisi ekonomi yg amburadul skrg ini,hutang msih bnyk..","Candidate candidate 3 candidates, who 2 promises of presidential candidates, now the one promise of Bacawapres (Amin). <br> <br> Shrus is the promise of Mr. Anies who was examined by his deputy Bnyk ..",candidate candidate candidates promises presidential candidates one promise bacawapres amin shrus promise mr anies examined deputy bnyk
Janji nya anis gk masuk akal,His promise is no sense,promise sense
"subsidi bbm gratis itu tidak mendidik, tidak ramah lingkungan, berdampak besar terhadap polusi udara. kacau tuh capres dan cawapres terakhir","The free fuel subsidy does not educate, is not environmentally friendly, has a big impact on air pollution. chaotic the last presidential and vice presidential candidate",free fuel subsidy educate environmentally friendly big impact air pollution chaotic last presidential vice presidential candidate
Kenapa ga ada yang janji buat menghukum mati para koruptor yah?,Why isn't there a promise to sentence the corruptors to death?,isnt promise sentence corruptors death
"Semoga pesta demokrasi berlangsung damai Indonesiaku, agar terwujud Perubahan Indonesia yg lebih baik? Aamin!","Hopefully the Democratic Party takes place in my Indonesian peace, so that a better Indonesia change will be realized? Aamin!",hopefully democratic party takes place indonesian peace better indonesia change realized aamin
Candu sama suaranya 😅,Addicted the same voice 😅,addicted voice
yg pilih si Amin beneran nih ga ada otaknya,the one who chose the amen really has no brain,one chose amen really brain
"Prabowo Subianto berfikir Indonesia 10 tahun kedepan , menjadikan Indonesia emas dan maju ,saya pilih prabowo","Prabowo Subianto Thinking Indonesia in the next 10 years, making Indonesia gold and advanced, I chose Prabowo",prabowo subianto thinking indonesia next years making indonesia gold advanced chose prabowo
menaikan gaji guru 30jt <br>memberi makanan bergizi<br>mensubsidi bbm gratis<br>memilih golput saya mah soalnya gak sampai di pikiran saya..,raising the 30 million teacher salary <br> giving nutritious food <br> subsidized for free fuel <br> choosing my abstentions because it doesn't reach my mind ..,raising million teacher salary giving nutritious food subsidized free fuel choosing abstentions doesnt reach mind
Gratis bbm udah sangaat sangat tidak masuk akal.. naikin dana desa???. Hah?????. Iyaaa. Buat kepala desa nya mah iyaaa.. fiks proyeek berjamaah lagi ini mah,"FREE BBM is already very unreasonable .. Raise Village Funds ??? Hah?????. Yes. For the village head, yeah, yeah .. Fix proyeek in congregation again, mah",free bbm already unreasonable raise village funds hah yes village head yeah yeah fix proyeek congregation mah
pemimpin sejati bukan janji. tetapi ketegasan,True leader is not a promise. but firmness,true leader promise firmness
Ambil uangnya tinggalkan orangnya,Take the money to leave the person,take money leave person
Jangan terlalu berharap ya tar sakit kalau udah jadi presiden kadang&quot; pada lupa pada janjinya 😂😂 tapi sukur&quot;di tepati janjinya sekarang mah bayangin aja dulu tau ajah di tepati janji nya,"Don't expect too much, Tar is sick if you've become a president sometimes & quot; Forgotten on his promise 😂😂 but thankfully & quot; kept the promise now, just imagine you know first, you know the promise",dont expect much tar sick youve become president sometimes quot forgotten promise thankfully quot kept promise imagine know first know promise
"Janji p gnjar dgn menaik kan gaji guru 30 jt,Jadi ingat wktu SMP,guru suruh membaca,trus ditinggal main catur,setelah pak guru kembali cm bertanya kpd siswa,ad yg ditanyakan g ank2? Klo enggak,pertemuan selanjutnya ulangan😊","Promise p gnjar by raising the salary of the teacher 30 million, so remember the time of junior high school, the teacher told to read, then left to play chess, after the teacher returned cm asking the students, the ad who was asked g ank2? If not, the next meeting of the test",promise p gnjar raising salary teacher million remember time junior high school teacher told read left play chess teacher returned cm asking students ad asked g ank next meeting test
